id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36863220,Executive Single · Modern light and spacious room,259132884,The Student Hotel,,Oud-Oost,52.35389,4.91425,Hotel room,243,1,2,2021-08-03,0.18,5,62,2,Exempt
36865363,SWEETS hotel Kortjewantsbrug,203731852,SWEETS Hotel,,Centrum-Oost,52.37115,4.91322,Hotel room,315,1,10,2022-04-23,0.29,20,251,1,Exempt
36865545,SWEETS hotel Hortusbrug,203731852,SWEETS Hotel,,Centrum-Oost,52.36712,4.90697,Hotel room,295,1,9,2022-04-30,0.28,20,193,4,Exempt
36869704,Beautifully Renovated and Central Apartment,29307510,Sanne,,De Baarsjes - Oud-West,52.36637,4.86799,Entire home/apt,210,3,13,2022-05-22,0.38,1,0,7,0363 9FA3 59F6 5217 24E1
36877030,"Spacious, bright and brandnew 2BD apartment",39680367,Adriaan,,Oud-Oost,52.35574,4.92294,Entire home/apt,200,2,17,2020-03-10,0.50,1,0,0,0363 DB83 79B6 D396 83B7
36898170,"Solo Traveller's Room, Amsterdam, Free Bike",184377695,James,,Zuid,52.35703,4.85177,Private room,138,1,9,2022-05-23,0.26,1,82,2,XTRZ 3498 DGHT 6664 7654
36900570,"Minimalistic, child friendly and spacious house",25420294,Laura,,IJburg - Zeeburgereiland,52.34924,5.01071,Entire home/apt,110,7,3,2020-08-08,0.09,1,0,0,0363 07BD 06EC 8931 9153
36928848,Private room w Organic Bed & shared kitchenette,9048125,Genevieve,,Buitenveldert - Zuidas,52.32322,4.87971,Private room,81,1,24,2022-05-29,0.71,2,6,13,0363 59C0 1368 8439 4371
36953210,Garden view Studio in family home,4513007,Suzanne,,IJburg - Zeeburgereiland,52.35413,4.99644,Entire home/apt,120,3,27,2022-05-05,0.80,1,0,11,0363 A910 3B37 7E3A 1145
36960971,"Loft Jordaan 1620, with private entry",25486069,Guido,,Centrum-West,52.37782,4.88163,Private room,141,2,36,2022-05-29,1.04,1,99,22,0363 957E 5671 ACEF 2850
36967525,Charming 110m2 canalhouse  w/ homecinema & 2bikes,79996951,Floris,,Centrum-West,52.36823,4.88483,Entire home/apt,260,3,15,2022-04-26,0.43,1,0,7,0363 E9DC 3067 BFE2 5612
36972460,"Cozy apartment in lively area, close to Vondelpark",1924176,Ana,,De Baarsjes - Oud-West,52.36301,4.86222,Entire home/apt,160,3,5,2021-08-15,0.15,1,5,1,0363 0ECE 49F5 1A21 BAA1
36997955,Cosy apartment in Amstedam Noord,62718797,Carola,,Oud-Noord,52.4005,4.91412,Entire home/apt,163,5,4,2022-04-24,0.13,1,0,2,0363 341A 65BA BF84 B1CC
37011867,Bright central spacious 120m home near Vondelpark!,5985569,Manou,,Zuid,52.35254,4.84841,Entire home/apt,275,4,4,2022-05-30,2.86,1,0,4,0363 EB7E 4AC0 62B2 8700
37014677,Room in a very peaceful part of Amsterdam.,163592969,Arley,,Noord-West,52.411499,4.916014,Private room,73,3,55,2022-05-22,1.59,2,58,23,0363 A38C CA88 ABB7 3123
37048856,Stylish apartment @the heart of hip Amsterdam East,35937668,Kirsten,,Oud-Oost,52.3634,4.9257,Entire home/apt,150,3,8,2021-06-25,0.23,1,0,1,0363 A131 5F5F 6823 B520
37078231,2 Rooms and a bathroom in lovely home.,7945146,Bilu & Bili,,Slotervaart,52.36107,4.82537,Private room,80,2,16,2022-04-24,0.46,2,84,6,0363 D05E CF8E 9AFE 6E6D
